Region,Product,Units_Sold,Ad_Spend,Revenue,Customer_Rating,High_Profit
North,A,120,12,45000,4.2,1
South,B,95,8,36000,3.8,0
East,A,140,15,52000,4.5,1
West,C,80,6,30000,3.5,0
North,B,110,10,41000,4.0,1
South,A,130,14,50000,4.4,1
East,C,70,5,28000,3.2,0
West,B,105,9,39000,3.9,1
North,C,90,7,34000,3.6,0
South,B,115,11,43000,4.1,1
East,A,150,16,56000,4.7,1
West,A,100,8,37000,3.7,0
North,A,135,13,51000,4.3,1
South,C,85,6,31000,3.4,0
East,B,125,12,47000,4.2,1
West,C,75,5,29000,3.3,0
North,B,145,15,54000,4.6,1
South,A,98,9,38000,3.8,0
East,C,88,7,33000,3.5,0
West,B,118,11,44000,4.0,1
